"","year","ward","cost","category","program","description"
"25",2012,1,11000,"Lighting","Street Light Arterial","W POTOMAC AVE & N LEAVITT ST"
"26",2012,1,128000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON ROCKWELL FROM W BLOOMINGDALE AV (1800 N) TO W NORTH AV (1600 N)"
"27",2012,1,1400,"Lighting","Street Light Upgrade","ON WINCHESTER FROM W AUGUSTA BV (1000 N) TO W THOMAS ST (1100 N)"
"28",2012,1,700,"Lighting","Street Light Upgrade","ON STAVE FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2064 N)"
"29",2012,1,350,"Lighting","Street Light Upgrade","ON BINGHAM FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2104 N)"
"30",2012,1,700,"Lighting","Street Light Upgrade","1300 N LEAVITT ST"
"31",2012,1,400,"Lighting","Street Light Upgrade","N CAMPBELL AVE & W IOWA ST"
"32",2012,1,1400,"Lighting","Street Light Upgrade","ON SUPERIOR FROM N DAMEN AV (2000 W) TO N WOOD ST (1800 W)"
"33",2012,1,605000,"Parks & Recreation","Chicago Park District","Haas Park Field House"
"34",2012,1,100000,"Schools & Libraries","School Projects","Goethe School - Campus Park"
"35",2012,1,155,"Schools & Libraries","School Projects Menu","LaSalle II Elementary School - playground )TPC= $25,000 2011-2013"
"36",2012,2,11547,"Streets & Transportation","Alley Apron Menu","ON W VAN BUREN ST FROM 1534 W TO S LAFLIN ST (1500 W)"
"37",2012,2,11545,"Streets & Transportation","Alley Apron Menu","ON S ASHLAND AVE FROM 333 S TO W JACKSON BV (300 S)"
"38",2012,2,8268,"Streets & Transportation","Alley Apron Menu","ON S LOOMIS ST FROM S TO W FILLMORE ST (1050 S)"
"39",2012,2,9686,"Streets & Transportation","Alley Apron Menu","ON S LAFLIN ST FROM 1013 S TO W FILLMORE ST (1050 S)"
"40",2012,2,39539,"Streets & Transportation","Alley Resurfacing Menu","W MADISON ST & W MONROE ST & S WESTERN AVE & S CAMPBELL AVE"
"41",2012,2,6638,"Streets & Transportation","Alley Resurfacing Menu","ON LOOMIS FROM W TAYLOR ST (1000 S) TO W FILLMORE ST (1050 S)"
"42",2012,2,12736,"Streets & Transportation","Alley Resurfacing Menu","S MORGAN ST & S SANGAMON ST & W MONROE ST & W ADAMS ST"
"43",2012,2,2981,"Streets & Transportation","Alley Resurfacing Menu","S WABASH AVE & S WABASH AVE & E CERMAK RD & E 23RD ST"
"44",2012,2,800,"Streets & Transportation","Bollard Menu","ON S ASHLAND AVE FROM S TO W VAN BUREN ST (400 S)"
"45",2012,2,2506,"Streets & Transportation","Curb & Gutter Menu","ON S CALUMET AVE FROM E 18TH ST (1800 S) TO E CULLERTON ST (2000 S)"
"46",2012,2,73623,"Streets & Transportation","Curb & Gutter Menu","ON W HARRISON ST FROM S WASHTENAW AV (2700 W) TO S CALIFORNIA AV (2800 W)"
"47",2012,2,10000,"Streets & Transportation","Miscellaneous Other","Temporary Parking signs in WEst Loop"
"48",2012,2,117050,"Lighting","Miscellaneous Other","Congress Pkwy - Michigan and Wells Landscape & LED preservation"
"49",2012,2,30000,"Beautification","Miscellaneous Other","Martin Luther King Boulevard artwork installation"
"50",2012,2,29712,"Streets & Transportation","Sidewalk Menu","ON S WABASH AVE FROM E 24 ST (2400 S) TO E 24 PL (2432 S)"
"51",2012,2,3797,"Streets & Transportation","Sidewalk Menu","ON N FRANCISCO AVE FROM W WARREN BV (23 N) TO W WASHINGTON BV (100 N)"
"52",2012,2,21113,"Streets & Transportation","Sidewalk Menu","ON HARRISON FROM S CALIFORNIA AV (2800 W) TO S WASHTENAW AV (2700 W)"
"53",2012,2,3394,"Streets & Transportation","Sidewalk Menu","800 S STATE ST"
"54",2012,2,215,"Streets & Transportation","Sidewalk Menu","ON N CALIFORNIA AVE FROM W WASHINGTON BV (100 N) TO W LAKE ST (200 N)"
"55",2012,2,19182,"Streets & Transportation","Sidewalk Menu","ON S JEFFERSON ST FROM W TILDEN ST (426 S) TO W VAN BUREN ST (400 S)"
"56",2012,2,107489,"Streets & Transportation","Street Resurfacing Menu","ON S LAFLIN ST FROM W POLK ST (800 S) TO W FILLMORE"
"57",2012,2,66167,"Streets & Transportation","Street Resurfacing Menu","ON W POLK ST FROM S FRANCISCO AV (2900 W) TO S CALIFORNIA AV (2800 W)"
"58",2012,2,135686,"Streets & Transportation","Street Resurfacing Menu","ON S SANGAMON ST FROM W JACKSON BV (300 S) TO Dead End (414 S)"
"59",2012,2,35504,"Streets & Transportation","Street Resurfacing Menu","ON S THROOP ST FROM W WASHBURNE AV (1225 S) TO W ROOSEVELT RD (1200 S)"
"60",2012,2,108718,"Streets & Transportation","Street Resurfacing Menu","ON S THROOP ST FROM W TAYLOR ST (1000 S) TO W ROOSEVELT RD (1200 S)"
"61",2012,2,5500,"Lighting","Floodlight Menu","ON LAKE FROM N ALBANY AV (3100 W) TO N SACRAMENTO BV (3000 W)"
"62",2012,2,11500,"Streets & Transportation","Left-Turn Arrow Menu","S CLARK ST & W HARRISON ST"
"63",2012,2,5400,"Lighting","Street Light Piggy Back","ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E)"
"64",2012,2,8100,"Lighting","Street Light Piggy Back","ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E)"
"65",2012,2,1500,"Beautification","Street Light Pole Painting","ON GREEN FROM W ADAMS ST (200 S) TO W VAN BUREN ST (400 S)"
"66",2012,2,6600,"Beautification","Street Light Pole Painting","ON ROOSEVELT FROM S LOOMIS ST (1400 W) TO S ASHLAND AV (1600 W)"
"67",2012,2,2400,"Beautification","Street Light Pole Painting","ON VAN BUREN FROM S FRANKLIN ST (300 W) TO S WACKER (UW) DR(320 W)"
"68",2012,2,1800,"Beautification","Street Light Pole Painting","ON S HOYNE AVE FROM W CONGRESS PW (500 S) TO W HARRISON ST (600 S)"
"69",2012,2,5000,"Beautification","Street Light Pole Painting","ON POLK FROM S PAULINA ST (1700 W) TO S DAMEN AV (2000 W)"
"70",2012,2,12000,"Beautification","Street Light Pole Painting","ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD (1200 S)"
"71",2012,2,2400,"Beautification","Street Light Pole Painting","ON HERMITAGE FROM W TAYLOR ST (1000 S) TO W ROOSEVELT RD (1200 S)"
"72",2012,2,18500,"Beautification","Street Light Pole Painting","ON MICHIGAN FROM E ROOSEVELT RD (1200 S) TO E HARRISON ST (600 S)"
"73",2012,2,4200,"Beautification","Street Light Pole Painting","ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E)"
"74",2012,2,3600,"Beautification","Street Light Pole Painting","ON PAULINA FROM W MADISON ST (0 N) TO W JACKSON BV (300 S)"
"75",2012,2,14100,"Beautification","Street Light Pole Painting","ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST (1500 S)"
"76",2012,2,2400,"Beautification","Street Light Pole Painting","ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST (832 W)"
"77",2012,2,12600,"Beautification","Street Light Pole Painting","ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN AV (2000 W)"
"78",2012,2,8600,"Beautification","Street Light Pole Painting","ON VAN BUREN FROM S STATE ST (0 E) TO S CONGRESS PLAZA DR (131 E)"
"79",2012,2,2400,"Beautification","Street Light Pole Painting","ON MONROE FROM S MORGAN ST (1000 W) TO S PEORIA ST (900 W)"
"80",2012,2,3300,"Beautification","Street Light Pole Painting","ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST (800 S)"
"81",2012,2,1200,"Beautification","Street Light Pole Painting","ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W ROOSEVELT RD (1200 S)"
"82",2012,2,6000,"Beautification","Street Light Pole Painting","ON LAKE FROM N ALBANY AV (3100 W) TO N SACRAMENTO BV (3000 W)"
"83",2012,2,7500,"Beautification","Street Light Pole Painting","ON TAYLOR FROM S LOOMIS ST (1400 W) TO S RACINE AV (1200 W)"
"84",2012,2,6000,"Beautification","Street Light Pole Painting","ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S"
"85",2012,2,24000,"Beautification","Street Light Pole Painting","ON ROOSEVELT FROM S ASHLAND AV (1600 W) TO S DAMEN AV (2000 W)"
"86",2012,2,5700,"Beautification","Street Light Pole Painting","ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W)"
"87",2012,2,1500,"Beautification","Street Light Pole Painting","ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E)"
"88",2012,2,2400,"Beautification","Street Light Pole Painting","ON MAYPOLE FROM N OAKLEY BV (2300 W) TO N WESTERN AV (2400 W)"
"89",2012,2,1200,"Beautification","Street Light Pole Painting","ON S WOOD ST FROM W ROOSEVELT RD (1200 S) TO W TAYLOR ST (1000 S)"
"90",2012,2,3200,"Lighting","Street Light Upgrade","ON MONROE FROM S MORGAN ST (1000 W) TO S PEORIA ST (900 W)"
"91",2012,2,4000,"Lighting","Street Light Upgrade","ON PAULINA FROM W MADISON ST (0 N) TO W JACKSON BV (300 S)"
"92",2012,2,2400,"Lighting","Street Light Upgrade","ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W ROOSEVELT RD (1200 S)"
"93",2012,2,1750,"Lighting","Street Light Upgrade","ON ADAMS FROM S LEAVITT ST (2200 W) TO S SEELEY AV (2032 W)"
"94",2012,2,6000,"Lighting","Street Light Upgrade","ON ROOSEVELT FROM S LOOMIS ST (1400 W) TO S ASHLAND AV (1600 W)"
"95",2012,2,350,"Lighting","Street Light Upgrade","317 S CAMPBELL AVE"
"96",2012,2,350,"Lighting","Street Light Upgrade","201 S ASHLAND AVE"
"97",2012,2,400,"Lighting","Street Light Upgrade","ON 11 FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E)"
"98",2012,2,1200,"Lighting","Street Light Upgrade","ON POLK FROM S STATE ST (0 E) TO S FINANCIAL PL (146 W)"
"99",2012,2,2400,"Lighting","Street Light Upgrade","ON S HOYNE AVE FROM W CONGRESS PW (500 S) TO W HARRISON ST (600 S)"
"100",2012,2,4400,"Lighting","Street Light Upgrade","ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST (800 S)"
"101",2012,2,350,"Lighting","Street Light Upgrade","157 S ASHLAND AVE"
"102",2012,2,18800,"Lighting","Street Light Upgrade","ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST (1500 S)"
"103",2012,2,14000,"Lighting","Street Light Upgrade","ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD (1200 S)"
"104",2012,2,3200,"Lighting","Street Light Upgrade","ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST (832 W)"
"105",2012,2,3200,"Lighting","Street Light Upgrade","ON HERMITAGE FROM W TAYLOR ST (1000 S) TO W PERSHING RD (3900 S)"
"106",2012,2,350,"Lighting","Street Light Upgrade","3550 S GILES AVE"
"107",2012,2,1600,"Lighting","Street Light Upgrade","ON BALBO FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E)"
"108",2012,2,1600,"Lighting","Street Light Upgrade","ON GREEN FROM W ADAMS ST (200 S) TO W VAN BUREN ST (400 S)"
"109",2012,2,7600,"Lighting","Street Light Upgrade","ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W)"
"110",2012,2,1750,"Lighting","Street Light Upgrade","ON VAN BUREN FROM S LEAVITT ST (2200 W) TO S SEELEY AV (2032 W)"
"111",2012,2,400,"Lighting","Street Light Upgrade","ON HARRISON FROM S STATE ST (0 E) TO S WABASH AV (44 E)"
"112",2012,2,2000,"Lighting","Street Light Upgrade","ON MAYPOLE FROM N OAKLEY BV (2300 W) TO N WESTERN AV (2400 W)"
"113",2012,2,18000,"Lighting","Street Light Upgrade","ON STATE FROM W HARRISON ST (600 S) TO W ROOSEVELT RD (1200 S)"
"114",2012,2,1200,"Lighting","Street Light Upgrade","ON S WOOD ST FROM W TAYLOR ST (1000 S) TO W ROOSEVELT RD (1200 S)"
"115",2012,2,4800,"Lighting","Street Light Upgrade","ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E)"
"116",2012,2,1400,"Lighting","Street Light Upgrade","ON HOYNE FROM W MADISON ST (0 N) TO W MONROE ST (100 S)"
"117",2012,2,6400,"Lighting","Street Light Upgrade","ON POLK FROM S PAULINA ST (1700 W) TO S DAMEN AV (2000 W)"
"118",2012,2,21000,"Lighting","Street Light Upgrade","1319 S STATE ST"
"119",2012,2,350,"Lighting","Street Light Upgrade","547 S CLARK ST"
"120",2012,2,8000,"Lighting","Street Light Upgrade","ON LAKE FROM N MOZART ST (2832 W) TO N SACRAMENTO BV (3000 W)"
"121",2012,2,8000,"Lighting","Street Light Upgrade","ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S CLAREMONT AV (2332 W)"
"122",2012,2,12000,"Lighting","Street Light Upgrade","ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN AV (2000 W)"
"123",2012,2,2000,"Lighting","Street Light Upgrade","ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E)"
"124",2012,2,1400,"Lighting","Street Light Upgrade","ON SEELEY FROM W JACKSON BV (300 S) TO W VAN BUREN ST (400 S)"
"125",2012,2,5250,"Lighting","Street Light Upgrade","ON MONROE FROM S RACINE AV (1200 W) TO S GREEN ST (832 W)"
"126",2012,2,5600,"Lighting","Street Light Upgrade","ON VAN BUREN FROM S GREEN ST (832 W) TO W TILDEN ST (1124 W)"
"127",2012,2,2400,"Streets & Transportation","Traffic Equipment","ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN AV (2000 W)"
"128",2012,2,400,"Streets & Transportation","Traffic Equipment","ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E)"
"129",2012,2,2750,"Streets & Transportation","Traffic Equipment","ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST (1500 S)"
"130",2012,2,200,"Streets & Transportation","Traffic Equipment","ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST (800 S)"
"131",2012,2,25650,"Streets & Transportation","Traffic Equipment","ON STATE FROM W HARRISON ST (600 S) TO W ROOSEVELT RD (1200 S)"
"132",2012,2,11000,"Streets & Transportation","Traffic Equipment","ON ROOSEVELT FROM S ASHLAND AV (1600 W) TO S DAMEN AV (2000 W)"
"133",2012,2,3500,"Streets & Transportation","Traffic Equipment","W ROOSEVELT RD & S WOOD ST"
"134",2012,2,8000,"Streets & Transportation","Traffic Equipment","ON STATE FROM W CONGRESS PW (500 S) TO W HARRISON ST (600 S)"
"135",2012,2,19500,"Streets & Transportation","Traffic Equipment","ON MICHIGAN FROM E ROOSEVELT RD (1200 S) TO E HARRISON ST (600 S)"
"136",2012,2,5450,"Streets & Transportation","Traffic Equipment","ON ASHLAND FROM W MADISON ST (0 N) TO W ROOSEVELT RD (1200 S)"
"137",2012,2,3500,"Streets & Transportation","Traffic Equipment","W ROOSEVELT RD & S PAULINA ST"
"138",2012,2,3500,"Streets & Transportation","Traffic Equipment","W ROOSEVELT RD & S ASHLAND W AVE"
"139",2012,2,1550,"Streets & Transportation","Traffic Equipment","ON JEFFERSON FROM W MADISON ST (0 N) TO W ADAMS ST (200 S)"
"140",2012,3,8666,"Streets & Transportation","Alley Apron Menu","ON S MICHIGAN AVE FROM 4944 S TO E 49 ST (4900 S)"
"141",2012,3,216149,"Streets & Transportation","Concrete Alley Menu","1503 S State"
"142",2012,3,51363,"Streets & Transportation","Curb & Gutter Menu","ON E 37TH PL FROM S STATE ST (0 E) TO S WABASH AV (44 E)"
"143",2012,3,23977,"Streets & Transportation","Curb & Gutter Menu","ON S PRINCETON AVE FROM W 48TH PL (4850 S) TO W 50TH ST (5000 S)"
"144",2012,3,550,"Streets & Transportation","In-Road 'State Law Stop For Pedestrians' Signs Menu","S STATE ST & W 23RD ST"
"145",2012,3,14166,"Plants, Gardens, & Sustainability","Miscellaneous Other","4501-33 & 4524-50 S McDowell, & 1400 W 46th St Tree planting"
"146",2012,3,413,"Miscellaneous","Miscellaneous Other","4434 S DR MARTIN LUTHER KING JR DR"
"147",2012,3,3370,"Beautification","Miscellaneous Other","4700 S LASALLE ST Decorative Plaza Planter Fencing"
"148",2012,3,680,"Beautification","Miscellaneous Other","E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets"
"149",2012,3,11450,"Beautification","Miscellaneous Other","8 decorative garbage cans decorative garbage cans"
"150",2012,3,300,"Streets & Transportation","Pavement Markings","W 46TH PL & S SHIELDS AVE"
"151",2012,3,11175,"Streets & Transportation","Sidewalk Menu","ON S CALUMET AVE FROM E 46TH ST (4600 S) TO E 47TH ST (4700 S)"
"152",2012,3,643,"Streets & Transportation","Sidewalk Menu","ON W SWANN ST FROM S PRINCETON AV (300 W) TO S SHIELDS AV (328 W)"
"153",2012,3,8979,"Streets & Transportation","Sidewalk Menu","ON DR MARTIN LUTHER KING JR DR FROM E 44 ST (4400 S) TO E 45 ST (4500 S)"
"154",2012,3,30507,"Streets & Transportation","Sidewalk Menu","ON E 50TH PL FROM S WASHINGTON PK (432 E) TO S VINCENNES AV (480 E)"
"155",2012,3,22651,"Streets & Transportation","Sidewalk Menu","ON S SHIELDS AVE FROM W SWANN ST (4642 S) TO W 47 ST (4700 S)"
"156",2012,3,94958,"Streets & Transportation","Street Resurfacing Menu","ON E 42ND ST FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E)"
"157",2012,3,6790,"Streets & Transportation","Street Resurfacing Menu","ON FORRESTVILLE FROM E 48 ST (4800 S) TO E 49 ST (4900 S)"
"158",2012,3,135801,"Streets & Transportation","Street Resurfacing Menu","ON S CALUMET AVE FROM E PERSHING RD (3900 S) TO E 41 ST (4100 S)"
"159",2012,3,176667,"Streets & Transportation","Street Resurfacing Menu","ON S PRINCETON AVE FROM W ROOT ST (4134 S) TO W 43 ST (4300 S)"
"160",2012,3,106066,"Streets & Transportation","Street Resurfacing Menu","ON S PRAIRIE AVE FROM E 33 BV (3300 S) TO E 35 ST (3500 S)"
"161",2012,3,188861,"Streets & Transportation","Street Resurfacing Menu","ON S PRAIRIE AVE FROM E 48 ST (4800 S) TO E 51 ST (5100 S)"
"162",2012,3,3700,"Streets & Transportation","Street Speed Hump Menu","ON S CALUMET AVE FROM E 43 ST (4300 S) TO E 44 ST (4400 S)"
"163",2012,3,5550,"Streets & Transportation","Street Speed Hump Menu","ON S FEDERAL ST FROM W 13 ST (1299 S) TO W 14 ST (1400 S)"
"164",2012,3,3700,"Streets & Transportation","Street Speed Hump Menu","ON S LAFLIN ST FROM W 46 ST (4600 S) TO W 47 ST (4700 S)"
"165",2012,3,1200,"Lighting","Floodlight Menu","ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV Adding Floodlight with Mast Arm (44 E)"
"166",2012,3,10000,"Lighting","Floodlight Menu","ON 43 FROM S CALUMET AV (320 E) TO S PRAIRIE AV (236 E) Install floodlights on El tracks & New Controller"
"167",2012,3,128000,"Lighting","Street Light Residential Staggered Piggy Back Menu","ON LAFAYETTE FROM W GARFIELD BV (5500 S) TO W 57 ST (5700 S)"
"168",2012,3,350,"Lighting","Street Light Upgrade","342 W 42ND PL"
"169",2012,3,43800,"Lighting","Street Light Upgrade","ON INDIANA FROM E 31 ST (3100 S) TO E GARFIELD BV (5500 S)"
"170",2012,3,350,"Lighting","Street Light Upgrade","501 E 44TH PL"
"171",2012,3,1800,"Lighting","Street Light Upgrade","ON 43 FROM S MICHIGAN AV (120 E) TO S INDIANA AV (200 E)"
"172",2012,3,427,"Lighting","Street Light Upgrade","5048 S INDIANA AVE"
"173",2012,3,2100,"Lighting","Street Light Upgrade","ON PRINCETON FROM W GARFIELD BV (5500 S) TO W 57 ST (5700 S)"
"174",2012,3,800,"Lighting","Street Light Upgrade","ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV (44 E)"
"175",2012,3,500,"Lighting","Street Light Upgrade","4753 S FORRESTVILLE AVE"
"176",2012,4,18351,"Streets & Transportation","Alley Resurfacing Menu","E 47TH ST & E 47TH PL & S DREXEL BLVD & S COTTAGE GROVE AVE"
"177",2012,4,5844,"Streets & Transportation","Alley Resurfacing Menu","S GREENWOOD AVE & S ELLIS AVE & E 47TH ST & E 48TH ST"
"178",2012,4,60751,"Streets & Transportation","Curb & Gutter Menu","ON S DREXEL BLVD FROM E 41 ST (4114 S) TO E 42 PL (4228 S)"
"179",2012,4,13521,"Streets & Transportation","Curb & Gutter Menu","ON E 42ND PL FROM S COTTAGE GROVE AV (800 E) TO S DREXEL AV (900 E)"
"180",2012,4,29629,"Streets & Transportation","Curb & Gutter Menu","ON E BOWEN AVE FROM S ST LAWRENCE AV (600 E) TO S LANGLEY AV (679 E)"
"181",2012,4,4216,"Streets & Transportation","Curb & Gutter Menu","ON S BERKELEY AVE FROM E 44 ST (4400 S) TO E 45 ST (4500 S)"
"182",2012,4,200000,"Miscellaneous","Miscellaneous Other","Harper Ave."
"183",2012,4,19903,"Miscellaneous","Miscellaneous Other","ON 44 FROM S GREENWOOD AV (1100 E) TO S LAKE PARK AV (1175 E)"
"184",2012,4,20253,"Streets & Transportation","Sidewalk Menu","ON S KIMBARK AVE FROM E HYDE PARK BV (5100 S) TO E 52 ST (5150 S)"
"185",2012,4,16421,"Streets & Transportation","Sidewalk Menu","ON E 47TH ST FROM S LANGLEY AV (700 E) TO S EVANS AV (732 E)"
"186",2012,4,22812,"Streets & Transportation","Sidewalk Menu","ON E OAKWOOD BLVD FROM S VINCENNES AV (544 E) TO S"
"187",2012,4,28386,"Streets & Transportation","Sidewalk Menu","ON E 48TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E)"
"188",2012,4,11468,"Streets & Transportation","Sidewalk Menu","ON S RIDGEWOOD CT FROM E 54 ST (5322 S) TO Dead End (5384 S)"
"189",2012,4,4335,"Streets & Transportation","Sidewalk Menu","ON S WOODLAWN AVE FROM E 52 ST (5150 S) TO E 53 ST (5242 S)"
"190",2012,4,71664,"Streets & Transportation","Sidewalk Menu","ON W 46TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E)"
"191",2012,4,22887,"Streets & Transportation","Sidewalk Menu","ON S GREENWOOD AVE FROM E 47 ST (4700 S) TO E 48 ST (4800 S)"
"192",2012,4,22148,"Streets & Transportation","Street Resurfacing Menu","ON E 54TH ST FROM S WOODLAWN AV (1200 E) TO S KIMBARK AV (1242 E)"
"193",2012,4,34476,"Streets & Transportation","Street Resurfacing Menu","ON S DORCHESTER AVE FROM E 50 ST (5000 S) TO E HYDE PARK BV (5100 S)"
"194",2012,4,15299,"Streets & Transportation","Street Resurfacing Menu","ON E 40TH ST FROM S COTTAGE GROVE AV (800 E) TO S DREXEL (W) AV(831 E)"
"195",2012,4,49392,"Streets & Transportation","Street Resurfacing Menu","ON E 42ND ST FROM S VINCENNES AV (515 E) TO S ST LAWRENCE AV (600 E)"
"196",2012,4,52350,"Streets & Transportation","Street Resurfacing Menu","ON E 37TH ST FROM S ELLIS AV (792 E) TO S LAKE PARK AV (815 E)"
"197",2012,4,39743,"Streets & Transportation","Street Resurfacing Menu","ON S EVANS AVE FROM E 50 PL (5032 S) TO E 51 ST (5100 S)"
"198",2012,4,32357,"Streets & Transportation","Street Resurfacing Menu","ON S ELLIS AVE FROM E 37 ST (3640 S) TO E PERSHING RD (3842 S)"
"199",2012,4,57448,"Streets & Transportation","Street Resurfacing Menu","ON S EAST END AVE FROM E 50 ST (5000 S) TO S HYDE PARK BV (5171 S)"
"200",2012,4,38034,"Streets & Transportation","Street Resurfacing Menu","ON S KENWOOD AVE FROM E 48 ST (4800 S) TO E 49 ST (4900 S)"
"201",2012,4,58378,"Streets & Transportation","Street Resurfacing Menu","ON E 50TH ST FROM S ELLIS AV (1001 E) TO S GREENWOOD AV (1100 E)"
"202",2012,4,78733,"Streets & Transportation","Street Resurfacing Menu","ON S CORNELL AVE FROM E HYDE PARK BV (5100 S) TO E 53 ST (5242 S)"
"203",2012,4,89974,"Streets & Transportation","Street Resurfacing Menu","ON S RHODES AVE FROM E 31 PL (3132 S) TO E 33 ST (3300 S)"
